model_name,total_games,avg_turns,wins,win_rate
hehe003/qwen-8b,2,6.0,0,0.0
google/gemma-3-12b-it,1213,5.694146743610882,0,0.0
google/gemini-2.0-flash-lite-001,2619,5.495227185948836,0,0.0
google/gemini-2.0-flash-001,2835,5.495943562610229,0,0.0
gemini2.5base,17,4.9411764705882355,0,0.0
gemini2.5,10,5.1,0,0.0
gemini-2.0-flash-lite,15,4.8,0,0.0
log_fixer,1,1.0,0,0.0
baseline,1,6.0,0,0.0
azure-gpt-5-chat,1,10.0,0,0.0
agent_baseline_vanila,414,5.041062801932367,0,0.0
agent_baseline_test1,18,2.5555555555555554,0,0.0
agent_baseline_8b,71,2.5492957746478875,0,0.0
ac2c54b1-465b-4d6c-bdc7-aae5b383d862 Mafia,1,2.0,0,0.0
ZeroR-baseline-social-v1,22,6.090909090909091,0,0.0
hehe004/qwen-8b,10,6.9,0,0.0
hehe005.5/qwen-8b,7,4.428571428571429,0,0.0
hehe005/qwen-8b,12,5.916666666666667,0,0.0
hehe006/qwen-8b,14,4.857142857142857,0,0.0
leepokai,2,3.5,0,0.0
jarvis_v01_track_1,1,5.0,0,0.0
jarvis_track_testmodal_ydy,1,4.0,0,0.0
jarvis_track_testmodal1_ydy,2,9.5,0,0.0
jarvis_track_1_ydy_test1,19,5.105263157894737,0,0.0
jarvis_track_1_ydy,3,5.666666666666667,0,0.0
jarvis_qwen3_test_10_3,15,5.266666666666667,0,0.0
jarvis_qwen3_dpo_105,8,3.875,0,0.0
jarvis_qwen3_dpo_104,13,3.4615384615384617,0,0.0
jarvis_qwen3_dpo_103,3,4.0,0,0.0
jarvis_qwen3-test1,7,4.142857142857143,0,0.0
jarvis_qwen3-test,5,3.2,0,0.0
jarvis_qwen3-8b-1,12,4.083333333333333,0,0.0
jarvis-qwen3-8b-test40,24,4.666666666666667,0,0.0
jarvis-qwen3-8b-2,5,4.6,0,0.0
RLGame-M-P-02,191,5.020942408376963,0,0.0
RLAgent-01,1,7.0,0,0.0
